    0.246819373607320998E+02    0.121119230030840086E+01    0.780234407537459560E+03   -0.890139554754545870E+00    0.148747355924229190E+02    0.462517984678701310E+00   -0.124355104038871414E+02
    0.154640395034535718E+02    0.131160507445938990E+01    0.763889610899098983E+02   -0.324526417895403085E+01    0.530030077169184910E+01    0.219961971893470931E+01   -0.119480871852616168E+02
    0.196699379614326801E+02    0.196999597525334558E+01    0.818776239389107218E+03   -0.471021162452841402E+01    0.916249816588143950E+01    0.460976124444655788E+01   -0.118209190413832292E+02
    0.155546723339424648E+02    0.732273357326880925E+00    0.162270587621473027E+03   -0.864641499390314650E+00    0.262940189771358712E+01    0.121366870815628758E+01   -0.110129230381417980E+02
    0.206688351342367973E+02    0.689407448650216859E+00    0.151018451405733771E+03   -0.370161590545709718E+01    0.259787409556856641E+01    0.593950751826982781E+01   -0.106814992997599685E+02
    0.189623908203677587E+02    0.723263872333025137E+00    0.259859778847361781E+03   -0.233981954253032587E+01    0.105434309505954129E+02    0.272581163666901460E+01   -0.105469251280226555E+02
    0.202187150716781616E+02    0.544029951095581055E+00    0.536319792270660400E+03   -0.869103252887725830E+01    0.296164244413375854E+02    0.947303414344787598E+01   -0.104562601420398114E+02
    0.152917845083812320E+02    0.106028842721206829E+01    0.938759977809962294E+02   -0.637076851642304121E+01    0.111386840393330804E+02    0.688594182982869540E+01   -0.104434140174857575E+02
    0.189824178022220629E+02    0.105828549649689863E+01    0.323189205282326498E+03   -0.614258598525636312E+01    0.189310465177144884E+02    0.664240377983928454E+01   -0.104076681557843926E+02
    0.146289487016709572E+02    0.102297391028785034E+01    0.129836626213258825E+03   -0.934468197318742710E+01    0.197668236283749508E+02    0.981060306139274019E+01   -0.103513450646419951E+02
    0.220208977216876320E+02    0.263679249604763388E+01    0.791906846009015226E+03   -0.396190925147242279E+01    0.144739739965093879E+02    0.338214587073309403E+01   -0.102817079523910593E+02
    0.160315837771417122E+02    0.144444978594390094E+01    0.168048864225818335E+03   -0.685831328220714020E+01    0.210283693641254459E+02    0.592506670697117421E+01   -0.101809613652699245E+02
    0.142133779900727557E+02    0.126839719947454999E+01    0.771148333930887304E+02   -0.938042152929728701E+00    0.197437765042374380E+02    0.595560817428342659E+00   -0.101729360682146197E+02
    0.215854965658903275E+02    0.141766148047423335E+01    0.917492131748400652E+02   -0.524407173132655835E+01    0.228052172840110181E+02    0.467381213698731024E+01   -0.101187063448060552E+02
    0.167791415033684430E+02    0.191797062325997159E+01    0.467335003615819858E+03   -0.795727656700393382E+01    0.165404837628820616E+02    0.762949878329762754E+01   -0.100842696984308660E+02
    0.243742810256774689E+02    0.141409491633225248E+01    0.249180908544009924E+03   -0.106276348834105150E+01    0.538220566737289907E+00    0.212585917488051024E+01   -0.100266148671358408E+02
